Feature,protein_description,Pearson: Relative FoC change,Pearson p-value: Relative FoC change,Spearman: Relative FoC change,Spearman p-value: Relative FoC change,Pearson: Only last FoC measurment for each sample,Pearson p-value: Only last FoC measurment for each sample,Spearman: Only last FoC measurment for each sample,Spearman p-value: Only last FoC measurment for each sample,Pearson: Enrichment with 'Epinephrine 1uM',Pearson p-value: Enrichment with 'Epinephrine 1uM',Spearman: Enrichment with 'Epinephrine 1uM',Spearman p-value: Enrichment with 'Epinephrine 1uM',Pearson: Enrichment with 'DMSO',Pearson p-value: Enrichment with 'DMSO',Spearman: Enrichment with 'DMSO',Spearman p-value: Enrichment with 'DMSO',Pearson: Enrichment with 'Not treated',Pearson p-value: Enrichment with 'Not treated',Spearman: Enrichment with 'Not treated',Spearman p-value: Enrichment with 'Not treated',Pearson: Enrichment with 'Doxorubicin 5 uM',Pearson p-value: Enrichment with 'Doxorubicin 5 uM',Spearman: Enrichment with 'Doxorubicin 5 uM',Spearman p-value: Enrichment with 'Doxorubicin 5 uM'
4712.Q969V3;Q969V3-2.NCLN_HUMAN.NCLN,BOS complex subunit NCLN;Isoform 2 of BOS complex subunit NCLN,-0.7217775379967846,0.00022107227906800885,-0.7844155844155845,2.5628582377650186e-05,-0.4875196292075404,0.024977101417351027,-0.5142857142857142,0.01707135314181649,-0.3284286902706205,0.14606517807421537,-0.4177863742936748,0.05949115389036738,0.3135570438616203,0.16632356438689375,0.2743485314418395,0.22878257668645616,-0.3768085855874044,0.09223221820721296,-0.21828275526162708,0.34181917705897946,0.5044094834080908,0.019711668786322988,0.4719399037242694,0.03077138103808424
4713.Q969V5.MUL1_HUMAN.MUL1,Mitochondrial ubiquitin ligase activator of NFKB 1,0.5985808371292285,0.004146853174575964,0.751948051948052,8.462836509502948e-05,0.4433256416247225,0.04412616344065661,0.4688311688311688,0.03204495811634262,0.4014036718057585,0.0713016584331798,0.36556307750696543,0.10318200322506645,-0.6155270990522757,0.002975059764742288,-0.6122382758879197,0.003177694656308556,0.4419264190818204,0.04487873477119884,0.4619819957249504,0.03499715990732573,-0.3343636822636018,0.1384866838324689,-0.40451991747794525,0.06892945839706446
4714.Q969X5;Q969X5-2.ERGI1_HUMAN.ERGIC1,Endoplasmic reticulum-Golgi intermediate compartment protein 1;Isoform 2 of Endoplasmic reticulum-Golgi intermediate compartment protein 1,-0.7337259030486454,0.00015343437361869808,-0.7584415584415585,6.763045475607197e-05,-0.47500965387356975,0.029553242713151625,-0.47402597402597396,0.02993936808467946,-0.38723079525786547,0.08287209802852002,-0.48741743667595394,0.02501205204626498,0.126032883328745,0.5861880293026569,0.21828275526162708,0.34181917705897946,-0.2514059644517771,0.2716300214535556,-0.16072189171660894,0.4864500190147085,0.6469276892972655,0.0015267908897115708,0.5843065474681431,0.0054107389286265056
4716.Q969Y2;Q969Y2-2;Q969Y2-3;Q969Y2-4.GTPB3_HUMAN.GTPBP3,"tRNA modification GTPase GTPBP3, mitochondrial;Isoform 2 of tRNA modification GTPase GTPBP3, mitochondrial;Isoform 3 of tRNA modification GTPase GTPBP3, mitochondrial;Isoform 4 of tRNA modification GTPase GTPBP3, mitochondrial",-0.11155682091375724,0.6302169270923359,-0.20129870129870128,0.3815806896030638,-0.046319327563819186,0.8419727277990631,-0.05844155844155843,0.8013282220179797,-0.25563670017443446,0.2633736585284509,-0.2088931871468374,0.3634899627745002,0.3731253670723099,0.09571959684902857,0.2691157256650196,0.23814049473598162,-0.018265064583458737,0.9373651695570638,0.06129858195703226,0.7918164631281148,-0.06787161923079421,0.7700429581162668,-0.022473328748774734,0.9229715264419167
4717.Q969Z0.FAKD4_HUMAN.TBRG4,FAST kinase domain-containing protein 4,-0.8046906592588264,1.0920767012993884e-05,-0.8142857142857143,7.044009255480779e-06,-0.7533700757870565,8.06198554967885e-05,-0.7012987012987012,0.0003969427632680494,-0.8229119080071071,4.646996636295503e-06,-0.7833494518006402,2.6737538480021486e-05,0.5318633873898797,0.013079877032121927,0.499359179845092,0.021182903325233583,-0.04603968465050107,0.8429153294064227,-0.07998717401710306,0.7303534896718598,0.5181561495033304,0.01611773584727884,0.5393598899705937,0.011626196595185725
4718.Q969Z3.MARC2_HUMAN.MTARC2,Mitochondrial amidoxime reducing component 2,-0.46098022353693513,0.03544624177778909,-0.6064935064935064,0.003559301989284216,-0.3983291501479994,0.07370177619985231,-0.35844155844155845,0.11058955072221294,-0.7123443138002084,0.0002912454576246872,-0.6614950926316518,0.0010922136385075189,0.46192351047248853,0.03502325497015708,0.499359179845092,0.021182903325233583,0.2664135552432201,0.24306857223537526,0.22501064840325258,0.32676970540185013,0.09537786552048996,0.6808874021448176,0.11236664374387369,0.6277198733957421
4719.Q96A00;Q96A00-2.PP14A_HUMAN.PPP1R14A,Protein phosphatase 1 regulatory subunit 14A;Isoform 2 of Protein phosphatase 1 regulatory subunit 14A,0.7186772514713817,0.00024232546276995646,0.8077922077922077,9.502614930342745e-06,0.5992791485080661,0.004091952480538099,0.6,0.0040359153816269585,0.44633022705288394,0.04254320050031847,0.4177863742936748,0.05949115389036738,-0.598429251993428,0.004158851252380908,-0.5158051408579543,0.016691718232822728,0.38779536432949424,0.08238607085411592,0.370034122789402,0.09872047748148062,-0.34944026302039055,0.12049454916969185,-0.40451991747794525,0.06892945839706446
4720.Q96A26.F162A_HUMAN.FAM162A,Protein FAM162A,-0.3847473198838745,0.0850354332887716,-0.49870129870129876,0.02138084599925308,-0.4881485378396049,0.024762863055022087,-0.5324675324675324,0.01295751978995037,-0.730145862060866,0.00017151363867157413,-0.6963106238227914,0.00045450886025867214,0.20426022283234246,0.3744666368732448,0.24594187151053185,0.28253141096539214,0.35779603367735463,0.11127955809510415,0.32219132711562076,0.1543389078587848,0.30273916544972845,0.18222606575196845,0.3370999312316211,0.13508811384056663
4721.Q96A33.CCD47_HUMAN.CCDC47,PAT complex subunit CCDC47,-0.17568445493622392,0.44621315594643485,-0.35974025974025975,0.10921076405040096,0.07947776683206557,0.7320097450457912,0.14935064935064934,0.5181875885017935,-0.2907733420651479,0.20098746785257354,-0.27852424952911653,0.22148997055260453,0.5571761608742012,0.008692866426142799,0.5120674224459402,0.017638051461403088,-0.06553308015724184,0.7777713164444631,0.06129858195703226,0.7918164631281148,-0.17487780442443163,0.44833686883366025,-0.22473328748774737,0.3273821905009374
4722.Q96A35.RM24_HUMAN.MRPL24,Large ribosomal subunit protein uL24m,-0.1996206795378584,0.3856451217874634,-0.4831168831168831,0.026518455375827765,-0.39988936965727007,0.07247633311428163,-0.5454545454545454,0.010543755916837686,-0.6887031023702874,0.0005559926275873072,-0.6614950926316518,0.0010922136385075189,0.5404432042397026,0.011427457238796412,0.6092481011583084,0.003371813579386696,0.4482234742124644,0.04156861490008095,0.3072404534675641,0.17548806459541968,-0.23191764772112308,0.31173828939104137,-0.13483997249264842,0.5600620180993932
4723.Q96A49.SYAP1_HUMAN.SYAP1,Synapse-associated protein 1,0.30323896692546226,0.18146934482038396,0.2675324675324675,0.24102003675627298,0.21042534686140815,0.35990101627488963,0.08311688311688312,0.7202033241160488,0.39235704258233517,0.07853649304548119,0.3481553119113957,0.12195883335501292,0.33552672204990375,0.13703481469196266,0.249679589922546,0.2750452992012919,-0.5113430498105431,0.01782634531335893,-0.3954506079910983,0.07600339203272377,-0.29640151801517467,0.19200826205615704,-0.3146266024828463,0.16480515344280572
4724.Q96A65.EXOC4_HUMAN.EXOC4,Exocyst complex component 4,-0.7696010573776899,4.5253973720814295e-05,-0.857142857142857,6.953420523811708e-07,-0.6601036948555709,0.0011285753994937568,-0.6051948051948052,0.0036506664478326966,-0.620979760207813,0.0026629405749463916,-0.6266795614405123,0.002366479667355241,0.6810273239950262,0.0006773785624258063,0.6413924795016303,0.0017263556767304704,-0.36967354682833,0.099074951091138,-0.28331905563067344,0.2133068688684644,0.4613950363862804,0.035259742297635385,0.42699324622672,0.05354353138875994
4725.Q96A73;Q96A73-2.P33MX_HUMAN.KIAA1191,Putative monooxygenase p33MONOX;Isoform 2 of Putative monooxygenase p33MONOX,0.015492978069680696,0.9468571678583061,0.0038961038961038965,0.9866273665163274,0.1392486866998245,0.5471818152412117,0.2987012987012987,0.1884184241053723,-0.063877471623748,0.783255020691194,0.13926212476455826,0.5471427623910577,0.3179984684040543,0.16008105026896693,0.15175136752777496,0.5114063012776499,-0.07148284956255016,0.7581499707802961,-0.020183679424876477,0.9308002831079732,-0.19247952447601413,0.40321153338478394,-0.22473328748774737,0.3273821905009374
4726.Q96AB3;Q96AB3-2.ISOC2_HUMAN.ISOC2,Isochorismatase domain-containing protein 2;Isoform 2 of Isochorismatase domain-containing protein 2,0.31173132294227063,0.16893773273865054,0.3532467532467533,0.11623101293161812,0.1047494740326414,0.6513584704910783,0.0935064935064935,0.6868397848627376,-0.00889548533108515,0.9694734745400073,0.017407765595569783,0.9402998619287342,-0.37409900929099016,0.0947884500259718,-0.3932079769438898,0.0778335243071812,0.5811101271541843,0.0057335481960005645,0.5778512664973895,0.006078895016743095,-0.2354048949075129,0.3043110180915494,-0.17978662999019787,0.43549498698415834
4727.Q96AB6.NTAN1_HUMAN.NTAN1,Protein N-terminal asparagine amidohydrolase,-0.509947275664043,0.018193718702038973,-0.625974025974026,0.0024016012615434203,-0.3227188042347706,0.15362684141934033,-0.251948051948052,0.2705631402262357,-0.5837371843101201,0.005467111093323394,-0.5918640302493726,0.004706924887254327,0.55501200208375,0.009012891361099996,0.5629003928493327,0.007891032274513732,-0.009999919084461711,0.9656854317887902,0.035882096755335956,0.8772842508217151,0.1420405751862678,0.5390955446108842,0.15731330124142315,0.4958609297287322
4729.Q96AE4.FUBP1_HUMAN.FUBP1,Far upstream element-binding protein 1,0.6107526316411509,0.003272939760472162,0.29480519480519485,0.194527015766203,0.6613760029257749,0.0010952864836003642,0.5246753246753247,0.014608927612336503,0.5160313991189767,0.01663577304922387,0.5222329678670935,0.015160199293438778,0.18304658190819084,0.4270756936595242,0.18688592060070808,0.41727283608510557,-0.08158429194052683,0.7251682311080907,-0.263135376205797,0.24913487980556615,-0.7780549723174575,3.288562851772112e-05,-0.606779876216918,0.0035394144753656083
4730.Q96AE4-2.FUBP1_HUMAN.FUBP1,Isoform 2 of Far upstream element-binding protein 1,0.8068968481246505,9.894457237433373e-06,0.43636363636363634,0.04796935978332511,0.6909209751999701,0.0005245863453936444,0.464935064935065,0.03369923102896564,0.2677181983996452,0.24068107938937577,0.19148542155126763,0.40569127733757615,0.10070192023555166,0.6640534383791049,-0.05382314513300392,0.8167609220335117,0.40926428232913964,0.06543280314278625,0.42684744265201724,0.05363402093512401,-0.9283081858824055,1.3244448767929797e-09,-0.606779876216918,0.0035394144753656083
4731.Q96AE7.TTC17_HUMAN.TTC17,Tetratricopeptide repeat protein 17,-0.5198888854664345,0.01570497419866032,-0.28831168831168835,0.20500176731420708,-0.5970501798234049,0.004269338168827864,-0.5818181818181818,0.005660702226084469,-0.13199204431703604,0.568453377267945,-0.19148542155126763,0.40569127733757615,-0.2837788114814199,0.2125328998644959,-0.2907944924547018,0.20095320713221695,-0.1520786606777848,0.5104851087623681,-0.13605295019731548,0.5565048426618223,0.6634747923772492,0.0010421917711844592,0.606779876216918,0.0035394144753656083
4732.Q96AG4.LRC59_HUMAN.LRRC59,Leucine-rich repeat-containing protein 59,-0.6923477121864441,0.0005051939907038655,-0.7870129870129869,2.3092786396607713e-05,-0.4227239291531745,0.05624203930378733,-0.36233766233766235,0.1064906990145019,-0.2416949583623896,0.29118974502037315,-0.26111648393354675,0.252918785933029,0.5169185296614454,0.016417874227092455,0.4911361993386609,0.02376497619775574,-0.5478606532047763,0.01013973087945849,-0.49786409248028646,0.021634877658452362,0.36043720834444054,0.10847600397423639,0.3370999312316211,0.13508811384056663
4733.Q96AJ9;Q96AJ9-1.VTI1A_HUMAN.VTI1A,Vesicle transport through interaction with t-SNAREs homolog 1A;Isoform 1 of Vesicle transport through interaction with t-SNAREs homolog 1A,0.7656775126008191,5.224835364087371e-05,0.4311688311688312,0.05100136282401152,0.709191102718254,0.0003186087346397976,0.5610389610389611,0.008144816154898505,0.27805560026640386,0.22230071911459898,0.26111648393354675,0.252918785933029,0.140903675774262,0.5423817476533341,0.06952156246346342,0.7646028058762141,0.2986616708929318,0.18847989333211726,0.22202047367364122,0.33340882059934684,-0.8598634068341827,5.857313303972425e-07,-0.606779876216918,0.0035394144753656083
4734.Q96AN5.TM143_HUMAN.TMEM143,Transmembrane protein 143,-0.6564888170579862,0.0012278695766059372,-0.635891304881091,0.0019460369320608826,-0.5909238772097943,0.004790102755554223,-0.439532231185703,0.046189445394956424,-0.3747369182769392,0.09418200658414988,-0.5054820993643373,0.01941000232843129,0.06927042876754325,0.7654301564259958,0.29940656547831473,0.1873267103713352,-0.09459456300620697,0.6833767015722513,0.059132796681967165,0.7990243782407147,0.5145725216641983,0.016999166132269566,0.2700308624336608,0.23648631106393916
